1788	3065
80817	220082
55643	7157
2130	1071
5518	5516
367	4086
5906	5900
11051	83737
23327	6446
23214	23636
9087	2130
5879	5747
1856	90268
83452	2801
4802	22850
56893	5886
1387	51621
56893	2286
4093	9320
57562	5201
1107	841
90	655
3066	51317
79080	1743
6428	9169
56647	55603
8812	10363
23641	79666
54550	85359
23360	5362
3065	55893
27043	5925
55666	7353
23764	4780
8379	4149
545	990
9045	22822
55157	7965
59345	2786
373	80308
126961	58508
22806	64375
7681	3093
10524	51059
4087	6208
8754	51429
30011	10253
196403	51619
8350	22933
6774	5970
11007	6602
9325	5914
10987	4089
9353	6091
26146	27185
860	4088
4092	57496
399	396
2263	2246
79842	51176
7553	6129
4792	7322
7421	22938
4683	4361
3150	6197
23265	64400
6502	9978
11145	29979
5997	1508
9989	27185
25942	8932
1825	11187
7316	8202
5454	5456
8350	57459
2241	999
6478	10401
79643	9101
8038	3486
51003	3315
121504	5058
473	8216
6776	2099
3481	3482
2045	4301
6310	51586
51701	5468
3024	23512
10971	51564
23650	6617
55791	3398
9138	10672
81617	4292
7920	55890
8907	4520
10399	9402
5883	598
190	5460
1163	5715
25841	8452
55013	7704
5582	2893
4137	2932
578	7157
863	5576
3848	3827
8841	22948
3660	29117
88	8204
7414	4892
1410	595
5111	1017
8208	55723
25820	7332
4036	348
1295	56893
83755	4223
5609	23542
6837	9442
7431	5720
10087	875
6497	6498
3661	3665
2547	958
28952	26258
2796	4224
6599	6605
6884	6908
7718	11007
10048	28996
6772	9111
11135	5359
57562	5424
994	1111
6612	59343
2066	25
10049	25855
5764	6016
57132	6749
9026	3092
1022	6917
8576	2002
64949	5515
5883	25
8945	139285
6453	27185
4700	9551
356	5295
10963	2288
6310	478
55159	7323
6118	6119
27	25
9457	8676
79077	55093
10499	6778
11221	1432
1893	2202
92595	5359
6187	4356
57473	7052
5764	56647
6692	3083
10808	5230
9802	56893
3337	10273
8985	285596
1912	10445
4299	904
51773	8467
10403	57658
9759	2099
55140	8518
51631	51019
28964	10807
2072	2067
1280	650
6887	9139
10010	3665
7431	5713
1499	11124
4086	161
9551	5819
6809	6616
4036	10755
9655	3566
9001	3646
9638	4715
29089	7703
5315	84676
3014	472
5925	8804
58486	4089
51759	9873
2064	56899
4155	9833
351	6464
51567	7329
93145	6430
6880	2959
102157402	2959
2885	11127
4000	10524
89885	2010
3065	7153
4830	26003
5595	8569
25836	11098
5782	5829
4502	84651
6176	9551
6310	4155
10755	10287
169966	84528
2099	10025
57332	9001
2959	688
1445	3399
3065	6850
8379	23650
51013	22983
8328	84133
51497	10169
2534	2049
5693	5684
23059	51550
23228	5499
7153	1677
23594	4999
9670	10762
2638	8503
2634	6303
4137	6198
8668	339390
5595	5801
50807	51429
9079	83547
80152	6919
60529	3171
10600	5394
10808	5050
6279	1114
7316	10906
572	4170
6050	6035
637	598
11161	57819
9094	5802
8991	26073
81551	55023
10499	405
5037	8614
3959	3956
329	55284
8887	26994
1052	4088
51764	59345
1612	5595
140735	9721
5295	25
9623	208
8085	90780
25792	1026
91949	10466
54106	54476
23294	1956
467	5970
11092	22929
6464	2059
1263	7341
10728	836
6996	7157
54165	8453
2099	208
29082	92421
10891	23054
4609	6908
7316	5437
1617	26528
9994	2752
10155	9792
121504	4678
27229	2801
4673	1743
9690	5708
10985	4609
26119	1213
4292	302
92912	7703
3312	573
4091	57154
672	2956
1385	23126
7334	85363
1027	896
7186	8877
10019	1956
6048	51528
6880	10629
102157402	10629
4088	55769
9112	64919
8078	26994
2064	1398
81488	404734
404734	100820829
7398	7316
3932	7026
602	2957
1080	3312
2023	4653
993	1017
11321	9189
56940	5594
3621	7529
1984	7514
4088	9372
79036	81631
10987	8013
5997	2773
5934	4176
432	339390
5777	3937
8945	997
51295	2193
2130	1995
30008	11170
541468	170082
10589	6935
10567	23551
55143	7341
4899	10891
8859	5436
2959	5970
22807	9759
8431	7316
79734	201965
2275	11135
26330	23677
3336	1400
6281	10980
4489	7157
5434	5432
3178	6294
1785	2017
9063	89797
6500	84261
10848	5970
7681	51619
5955	11345
5629	3662
9355	4487
10474	10284
6895	5610
5578	4968
10084	55791
29110	10133
4035	10393
2950	2176
2064	29760
3308	23640
134728	3654
6238	25865
26150	3866
5272	9869
9513	3183
10006	6654
84232	10542
4792	8518
1508	1471
7329	1959
6261	6271
10363	1838
6004	51573
54461	163786
8517	29775
5863	5879
10200	9094
89884	26160
6714	5914
